!   Filename:    atl008s.dgn
!   Date:        11/15/2016  8:24:47 AM
!   9900    33 10 13.0000  084 47 11.0000
!   9901    00 00 00.0000  084 47 11.0000
!   9902    34 10 13.0000  000 00 00.0000
!   9903    32 10 13.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
GP 34 56 32.4750  081 59 41.0828  !
GP 34 58 45.3922  082 01 42.7876  !
GP 35 00 56.6725  082 03 47.1397  !
GP 35 03 06.2810  082 05 54.1096  !
GP 35 05 14.1830  082 08 03.6668  !
GP 35 07 20.3443  082 10 15.7802  !
GP 35 09 24.7311  082 12 30.4176  !
GP 35 11 27.3102  082 14 47.5464  !
GP 35 13 28.0484  082 17 07.1327  !
GP 35 15 26.9135  082 19 29.1424  !
GP 35 17 23.8733  082 21 53.5400  !
GP 35 19 18.8964  082 24 20.2896  !
GP 35 21 11.9517  082 26 49.3545  !
GP 35 23 03.0087  082 29 20.6971  !
GP 35 24 52.0372  082 31 54.2792  !
GP 35 26 39.0077  082 34 30.0616  !
GP 35 28 23.8913  082 37 08.0048  !
GP 35 30 06.6594  082 39 48.0681  !
GP 35 31 47.2841  082 42 30.2104  !
GP 35 33 25.7379  082 45 14.3897  !
GP 35 35 01.9941  082 48 00.5636  !
GP 35 36 36.0264  082 50 48.6886  !
GP 35 38 07.8091  082 53 38.7209  !
GP 35 39 37.3170  082 56 30.6159  !
GP 35 41 04.5258  082 59 24.3283  !
GP 35 42 29.4115  083 02 19.8123  !
GP 35 43 51.9508  083 05 17.0213  !
GP 35 45 12.1210  083 08 15.9084  !
GP 35 46 29.9002  083 11 16.4257  !
GP 35 47 45.2669  083 14 18.5251  !
GP 35 48 58.2003  083 17 22.1578  !
GP 35 50 08.6805  083 20 27.2744  !
GP 35 51 16.6879  083 23 33.8250  !
GP 35 52 22.2038  083 26 41.7594  !
GP 35 53 25.2101  083 29 51.0265  !
GP 35 54 25.6893  083 33 01.5750  !
GP 35 55 23.6248  083 36 13.3532  !
GP 35 56 19.0005  083 39 26.3088  !
GP 35 57 11.8010  083 42 40.3891  !
GP 35 58 02.0118  083 45 55.5410  !
GP 35 58 49.6189  083 49 11.7111  !
GP 35 59 34.6091  083 52 28.8455  !
GP 36 00 16.9699  083 55 46.8901  !
GP 36 00 56.6895  083 59 05.7902  !
GP 36 01 33.7570  084 02 25.4912  !
GP 36 02 08.1619  084 05 45.9379  !
GP 36 02 39.8948  084 09 07.0748  !
GP 36 03 08.9467  084 12 28.8463  !
GP 36 03 35.3097  084 15 51.1966  !
GP 36 03 58.9763  084 19 14.0696  !
GP 36 04 19.9401  084 22 37.4089  !
GP 36 04 38.1950  084 26 01.1582  !
GP 36 04 53.7361  084 29 25.2607  !
GP 36 05 06.5590  084 32 49.6598  !
GP 36 05 16.6602  084 36 14.2987  !
GP 36 05 24.0367  084 39 39.1204  !
GP 36 05 28.6867  084 43 04.0678  !
GP 36 05 30.6087  084 46 29.0840  !
GP 36 05 29.8023  084 49 54.1118  !
GP 36 05 26.2676  084 53 19.0943  !
GP 36 05 20.0056  084 56 43.9743  !
GP 36 05 11.0182  085 00 08.6947  !
GP 36 04 59.3077  085 03 33.1988  !
GP 36 04 44.8775  085 06 57.4295  !
GP 36 04 27.7316  085 10 21.3300  !
GP 36 04 07.8748  085 13 44.8438  !
GP 36 03 45.3126  085 17 07.9142  !
GP 36 03 20.0512  085 20 30.4850  !
GP 36 02 52.0978  085 23 52.5000  !
GP 36 02 21.4600  085 27 13.9031  !
GP 36 01 48.1465  085 30 34.6387  !
GP 36 01 12.1665  085 33 54.6512  !
GP 36 00 33.5300  085 37 13.8855  !
GP 35 59 52.2477  085 40 32.2865  !
GP 35 59 08.3311  085 43 49.7996  !
GP 35 58 21.7924  085 47 06.3705  !
GP 35 57 32.6446  085 50 21.9452  !
GP 35 56 40.9012  085 53 36.4701  !
GP 35 55 46.5766  085 56 49.8919  !
GP 35 54 49.6858  086 00 02.1578  !
GP 35 53 50.2447  086 03 13.2154  !
GP 35 52 48.2696  086 06 23.0127  !
GP 35 51 43.7776  086 09 31.4982  !
GP 35 50 36.7867  086 12 38.6207  !
GP 35 49 27.3153  086 15 44.3297  !
GP 35 48 15.3825  086 18 48.5751  !
GP 35 47 01.0082  086 21 51.3073  !
GP 35 45 44.2129  086 24 52.4774  !
GP 35 44 25.0177  086 27 52.0368  !
GP 35 43 03.4443  086 30 49.9377  !
GP 35 41 39.5153  086 33 46.1326  !
GP 35 40 13.2535  086 36 40.5749  !
GP 35 38 44.6827  086 39 33.2185  !
GP 35 37 13.8271  086 42 24.0179  !
GP 35 35 40.7115  086 45 12.9281  !
GP 35 34 05.3615  086 47 59.9050  !
GP 35 32 27.8030  086 50 44.9050  !
GP 35 30 48.0626  086 53 27.8853  !
GP 35 29 06.1676  086 56 08.8037  !
GP 35 27 22.1455  086 58 47.6186  !
GP 35 25 36.0248  087 01 24.2894  !
GP 35 23 47.8342  087 03 58.7759  !
GP 35 21 57.6030  087 06 31.0388  !
GP 35 20 05.3611  087 09 01.0396  !
GP 35 18 11.1389  087 11 28.7403  !
GP 35 16 14.9672  087 13 54.1040  !
GP 35 14 16.8772  087 16 17.0943  !
GP 35 12 16.9010  087 18 37.6757  !
GP 35 10 15.0706  087 20 55.8134  !
